series_id,timestamp,target
A,2026-01-01T00:00:00,101.5000
A,2026-01-01T01:00:00,103.3608
A,2026-01-01T02:00:00,104.7500
A,2026-01-01T03:00:00,105.6997
A,2026-01-01T04:00:00,106.3122
A,2026-01-01T05:00:00,106.7124
A,2026-01-01T06:00:00,107.0000
A,2026-01-01T07:00:00,107.2124
A,2026-01-01T08:00:00,107.3122
A,2026-01-01T09:00:00,107.1997
A,2026-01-01T10:00:00,106.7500
A,2026-01-01T11:00:00,105.8608
A,2026-01-01T12:00:00,104.5000
A,2026-01-01T13:00:00,102.7373
A,2026-01-01T14:00:00,100.7500
A,2026-01-01T15:00:00,98.8003
A,2026-01-01T16:00:00,97.1878
A,2026-01-01T17:00:00,96.1895
A,2026-01-01T18:00:00,96.0000
A,2026-01-01T19:00:00,96.6895
A,2026-01-01T20:00:00,98.1878
A,2026-01-01T21:00:00,100.3003
A,2026-01-01T22:00:00,102.7500
A,2026-01-01T23:00:00,105.2373
A,2026-01-02T00:00:00,107.5000
A,2026-01-02T01:00:00,109.3608
A,2026-01-02T02:00:00,110.7500
A,2026-01-02T03:00:00,111.6997
A,2026-01-02T04:00:00,112.3122
A,2026-01-02T05:00:00,112.7124
A,2026-01-02T06:00:00,113.0000
A,2026-01-02T07:00:00,113.2124
A,2026-01-02T08:00:00,113.3122
A,2026-01-02T09:00:00,113.1997
A,2026-01-02T10:00:00,112.7500
A,2026-01-02T11:00:00,111.8608
A,2026-01-02T12:00:00,110.5000
A,2026-01-02T13:00:00,108.7373
A,2026-01-02T14:00:00,106.7500
A,2026-01-02T15:00:00,104.8003
A,2026-01-02T16:00:00,103.1878
A,2026-01-02T17:00:00,102.1895
A,2026-01-02T18:00:00,102.0000
A,2026-01-02T19:00:00,102.6895
A,2026-01-02T20:00:00,104.1878
A,2026-01-02T21:00:00,106.3003
A,2026-01-02T22:00:00,108.7500
A,2026-01-02T23:00:00,111.2373
A,2026-01-03T00:00:00,113.5000
A,2026-01-03T01:00:00,115.3608
A,2026-01-03T02:00:00,116.7500
A,2026-01-03T03:00:00,117.6997
A,2026-01-03T04:00:00,118.3122
A,2026-01-03T05:00:00,118.7124
A,2026-01-03T06:00:00,119.0000
A,2026-01-03T07:00:00,119.2124
A,2026-01-03T08:00:00,119.3122
A,2026-01-03T09:00:00,119.1997
A,2026-01-03T10:00:00,118.7500
A,2026-01-03T11:00:00,117.8608
A,2026-01-03T12:00:00,116.5000
A,2026-01-03T13:00:00,114.7373
A,2026-01-03T14:00:00,112.7500
A,2026-01-03T15:00:00,110.8003
A,2026-01-03T16:00:00,109.1878
A,2026-01-03T17:00:00,108.1895
A,2026-01-03T18:00:00,108.0000
A,2026-01-03T19:00:00,108.6895
A,2026-01-03T20:00:00,110.1878
A,2026-01-03T21:00:00,112.3003
A,2026-01-03T22:00:00,114.7500
A,2026-01-03T23:00:00,117.2373
A,2026-01-04T00:00:00,119.5000
A,2026-01-04T01:00:00,121.3608
A,2026-01-04T02:00:00,122.7500
A,2026-01-04T03:00:00,123.6997
A,2026-01-04T04:00:00,124.3122
A,2026-01-04T05:00:00,124.7124
A,2026-01-04T06:00:00,125.0000
A,2026-01-04T07:00:00,125.2124
A,2026-01-04T08:00:00,125.3122
A,2026-01-04T09:00:00,125.1997
A,2026-01-04T10:00:00,124.7500
A,2026-01-04T11:00:00,123.8608
A,2026-01-04T12:00:00,122.5000
A,2026-01-04T13:00:00,120.7373
A,2026-01-04T14:00:00,118.7500
A,2026-01-04T15:00:00,116.8003
A,2026-01-04T16:00:00,115.1878
A,2026-01-04T17:00:00,114.1895
A,2026-01-04T18:00:00,114.0000
A,2026-01-04T19:00:00,114.6895
A,2026-01-04T20:00:00,116.1878
A,2026-01-04T21:00:00,118.3003
A,2026-01-04T22:00:00,120.7500
A,2026-01-04T23:00:00,123.2373
